term	paraphrase
trouble menstruel	hypofertilité
maladie occlusive artérielle périphérique (MOAP)	est une cause courante de morbidité et de mortalité en raison de maladies cardiovasculaires dans la population générale
multimorbidité	deux ou plusieurs maladies chroniques chez un même individu
comorbidité	combinaisons d'affections courantes prédéfinies
comportement tabagique	définie comme étant la présence ou l'absence d'une consommation de cigarettes ou d'autres dérivés du tabac, ou les deux, et la fréquence de consommation de tabac
trouble menstruel	d'hypofertilité (TMH)
laryngite	est une maladie infantile fréquente qui se caractérise par une toux aboyante, un stridor, un enrouement et une détresse respiratoire
clozapine	est un antipsychotique atypique dont la supériorité a été démontrée dans le traitement de la schizophrénie réfractaire et qui provoque moins de troubles du mouvement
tétanos	est une maladie grave qui peut être évitée par la vaccination
HID symptomatique	définie  tels que une diminution de la pression artérielle (PA) systolique d'au moins 10 mm Hg ou inférieure à 100 mm Hg avec des symptômes tels que crampes, nausées, vomissements et étourdissement
maladie artérielle périphérique (MAP) des membres inférieurs	est une manifestation importante et courante de l'athérosclérose systémique
thromboembolie veineuse (TEV)	est une affection grave et fréquente
dysenterie bacillaire	est une maladie relativement courante partout dans le monde, qui peut parfois être mortelle
clozapine	est un médicament antipsychotique considéré comme plus efficace et associé à moins d'effets moteurs indésirables que les médicaments typiques chez les patients dont la maladie résiste au traitement
trouble d'anxiété généralisée (TAG)	trouble psychiatrique courant, chronique et de longue durée qui est particulièrement fréquent en soins primaires
infection aiguës des voies respiratoires supérieures (IVRS)	y compris le rhume simple et la rhinosinusite
syndrome POEMS	est une maladie potentiellement mortelle et la qualité de vie des patients se détériore en raison de la neuropathie progressive, d'épanchement pleural massif ou ascites, ou d'événements thrombo-emboliques
danse-thérapie	définie comme l'utilisation psychothérapeutique du mouvement comme un processus renforçant l'intégration émotionnelle, sociale, cognitive et physique de l'individu
maladie rénale diabétique	est une des principales complications microvasculaires chroniques du diabète de type 2
prostatite chronique	est une affection provoquant une morbidité significative chez les hommes due à un ensemble de symptômes urinaires, de troubles sexuels et de douleurs pelviennes associés
sclérose en plaques (SEP)	maladie inflammatoire et neurodégénérative chronique du système nerveux central (SNC)
sclérose en plaques	et les maladies rares du système nerveux central
engorgement mammaire	est une affection douloureuse qui touche un grand nombre de femmes au début de la période post-partum
maladie de Crohn (MC)	est une maladie intestinale inflammatoire chronique qui touche le plus souvent l'iléon et le colon
syndrome thoracique aigu	défini  tels que un nouvel infiltrat visible sur les radiographies thoraciques associé à un ou plusieurs des symptômes, tels que la fièvre, de la toux, la production d'expectorations, la tachypnée, la dyspnée, ou d'une nouvelle hypoxie
trouble neurologique	somnolence, ataxie, vertiges
équinisme de la cheville	est La réduction de l'amplitude de dorsiflexion de la cheville
névralgie amyotrophiante	trouble distinct du système nerveux périphérique caractérisé par des épisodes (attaques) de douleurs neuropathiques extrêmes, ainsi qu'une faiblesse multifocale et une atrophie rapides des membres supérieurs
groupe de nouveau-nés	par exemple des unités néonatales indépendantes
maladie des motoneurones (MMN)	est une maladie neurodégénérative progressive pouvant entraîner une dysphagie, un affaiblissement des membres, une dysarthrie, une labilité émotionnelle et une insuffisance respiratoire
surdité de perception idiopathique d'apparition soudaine	définition ISSHL
personnel de soutien spécialisé	tel que les aide-diététiciens
formation de calculs dans les voies urinaires	trouble médical fréquent
mortalité périnatale	définie comme la mortinatalité après l'entrée dans l'essai, ou le décès d'un nourrisson né vivant jusqu'à 28 jours d'âge
trouble du comportement post-opératoire	défini comme agitation au réveil ou délire d'émergence
douleur persistante	chronique
diabète	trouble métabolique chronique qui est associé à un risque accru de maladies cardiovasculaires, de rétinopathie, de néphropathie, de neuropathie, de dysfonction sexuelle et de maladies parodontales
infection urinaire basse (IUB) aiguë et sans complication	est un des troubles les plus fréquents pour lesquels les jeunes femmes consultent un médecin
dosage élevé	défini comme dose initiale et incréments d'au moins 4 mU par minute
maladie cardio-vasculaire	est une cause majeure de mortalité dans les pays développés et en voie de développement
sclérose en plaques	est une maladie neurologique
bonne fonction neurologique	définie comme un score de un ou deux sur l'échelle CPC des catégories de performance cérébrale
thérapie primaire	La thérapie pouvait être initiée pour une maladie récemment diagnostiquée
reprise précoce de l'alimentation	définie comme intervenant dans les 12 heures suivant le début de la réhydratation
ESPT	trouble anxieux lié à l'exposition à un traumatisme psychologique grave
arthrose	est une maladie articulaire chronique dans laquelle on observe une dégénérescence du cartilage articulaire
recours	défini comme l'intervalle de temps séparant la première évaluation en néphrologie et le début de la dialyse
médicaments antirhumatismaux modificateurs de la maladie	le méthotrexate, l'or, la sulfasalazine, la pénicillamine, le léflunomide, l'hydroxychloroquine
hyperplasie prostatique bénigne (HPB)	est une affection courante chez les hommes vieillissants et provoque des symptômes au niveau des voies urinaires inférieures (SVUI)
arthrose du genou et de la main	affections chroniques douloureuses
trouble aigu	par exemple les entorses, les foulures et les blessures de surmenage
otite moyenne aiguë (OMA)	est une maladie infantile fréquente pour laquelle des antibiotiques sont souvent prescrits
thérapie de relaxation ou les techniques	par exemple la méditation, le massage
bursite sous-acromiale/tendinite calcifiante des courts rotateurs de l'épaule	par exemple inflammation de la partie sous-acromiale des bourses séreuses, de la partie sous-deltoïde, ou des deux
test	par exemple la flexion antérieure, le test d'hyperextension et le test d'étirement radiculaire
colite ulcéreuse	est une maladie chronique récurrente caractérisée par une inflammation diffuse des muqueuses limitée au colon
maladie inflammatoire de l'intestin	troubles fonctionnels intestinaux
score SED	Self-Efficacy for Diabetes
récidive de pneumothorax	définie comme une nouvelle survenue du même côté sept jours au moins après la résolution initiale
respiration sifflante épisodique récurrente associée à une infection des voies respiratoires supérieures (IVRS) d'origine virale	est une maladie clinique spécifique distincte de l'asthme allergique persistant
toux non-spécifique chronique	est une toux sèche chronique en l'absence de maladie respiratoire identifiable ou d'étiologie connue
facteurs de risque	par exemple tabagisme, consommation excessive d'alcool et mauvaise alimentation
comportement opérant	par exemple les taux de réponse et les effets de stimulus discriminatif
sulindac	est par exemple un anti-inflammatoire non-stéroïdien (AINS) autorisé pour le traitement des maladies rhumatismales et d'autres troubles musculosquelettiques
dexibuprofène	est un anti-inflammatoire non-stéroïdien (AINS) autorisé pour le traitement des maladies rhumatismales et d'autres troubles musculosquelettiques
thrombocytopénie induite par l'héparine (TIH)	est une réaction indésirable à un médicament qui se présente comme un trouble thrombotique lié à une activation des plaquettes par des anticorps
nébulisation continue	définie comme une administration véritablement continue de bêta-agonistes en aérosol
cancer	le cancer du sein
thérapie rénale substitutive	telles que TRS
événements indésirables	Réactions à la perfusion, anxiété, congestion des sinus, oedème des membres inférieurs, frissons, vaginite et troubles menstruels
quasi-ECR	par exemple dans lesquels l'assignation n'était pas aléatoire, mais était censée ne pas être biaisée, par exemple, à assignation alternée
décompression orbitaire	est une procédure reconnue pour la gestion de l'exophtalmie et la rééducation visuelle suite à des neuropathies optiques en cas de maladie oculaire thyroïdienne
fonction pulmonaire	volume expiratoire maximum en une seconde
intervention chirurgicale ultra-radicale	lourde
panbronchiolite diffuse (PBD)	est une maladie respiratoire chronique
télésanté	définie comme étant la santé délivrée à distance, facilitée électroniquement et impliquant des échanges d'informations à travers une interaction personnalisée entre le professionnel de santé qui utilise ses compétences et son jugement et le patient qui fournit l'information
télésanté	santé à distance, impliquant la communication de données depuis le patient au soignant, normalement un médecin ou une infirmière, qui analyse alors l'information et y répond avec une réponse concernant la gestion de la maladie
pneumonie	est une inflammation aiguë des poumons
trouble cognitif	démence
eczéma	est une affection cutanée courante
Inhibiteurs de la réductase CoA HMG	statines
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est une pathologie qui se déclare dans l'enfance et peut persister jusqu'à l'âge adulte
paramètre de la marche cliniquement pertinent	vitesse de marche et la longueur de foulée
trouble déficitaire de l'attention avec hyperactivité (TDAH)	trouble mental infantile courant qui se caractérise par une inattention, une hyperactivité et une impulsivité
myopie	anomalie de la vision de loin
progression de la myopie	définie comme un changement moyen d'une dioptrie
néphropathie chronique	est un problème de santé publique dans le monde entier, créant un risque accru de maladie cardiovasculaire et d'insuffisance rénale
trouble gynécologique	l'endométriose
prise en charge intensive (PCI)	est un dispositif de soins mis en place dans la communauté visant à fournir des soins à long terme aux personnes atteintes de graves maladies mentales qui n'ont pas besoin d'une hospitalisation immédiate
niveau élevé d'hospitalisation	environ quatre jours par mois dans les deux dernières années
sinusite aiguë	définie par 10 à 30 jours de rhinorrhée, de congestion ou de toux diurne
atélectasie postopératoire	définie comme une zone de poumon collabée, quantifiée par tomodensitométrie
effets indésirables	des troubles du mouvement induits par les médicaments
stimulation magnétique transcrânienne répétitive (SMTr)	est un moyen non invasif d'induire des courants électriques dans le cerveau qui suscite un intérêt croissant ces dernières années pour le traitement de nombreux troubles neuropsychiatriques
hypercholestérolémie	défini comme un cholestérol total supérieur à 5,2 mmol/l, un cholestérol LDL supérieur à 3,0 mmol/l, un cholestérol HDL inférieur à 1,0 mmol/l ou une combinaison de ces valeurs
régime hypolipidique	défini comme un apport en matières grasses inférieur à 20 pour cent de la quantité totale de calories
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est niveaux inappropriés à l'âge d'inattention, d'hyperactivité et d'impulsivité
plus graves effets secondaires	des troubles du mouvement extra-pyramidaux et de la somnolence
principales caractéristiques des TSA	par exemple interaction sociale, communication et stéréotypies
anticorps monoclonaux anti-CD20	le rituximab, l'ofatumumab et le GA101
rhume	est une maladie fréquente
hypertension	définie comme une pression artérielle systolique ou diastolique (ou les deux) moyenne (sur un minimum de trois mesures) égale ou supérieure au 95e percentile pour l'âge, la taille et le sexe
trouble dépressif majeur (TDM)	est une pathologie courante
médicament antipsychotique	clozapine
trouble obsessionnel-compulsif (TOC)	trouble psychiatrique
maladie rénale chronique (MRC)	est un facteur de risque important pour les maladies cardiovasculaires et la mort prématurées
syndrome d'apnée obstructive du sommeil (SAOS) chez l'enfant	trouble qui est caractérisé par des épisodes répétés d'obstruction partielle ou complète des voies aériennes supérieures (OVA) pendant le sommeil qui provoque une perturbation de la ventilation normale et des cycles du sommeil
naissance vivante	définie comme la naissance d'un foetus vivant au terme de 20 semaines complètes de gestation
éjaculation précoce (EP)	trouble sexuel très fréquent chez les patients
traitement de fond	défini comme une utilisation du médicament pendant plus de deux mois
maladie colorectale	défini comme les maladies inflammatoires de l'intestin et la diverticulite aiguë
application intratympanique de gentamicine	est un traitement ablatif relativement nouveau pour les vertiges dans la maladie de Ménière qui offre des résultats prometteurs
lichen scléreux	est une affection cutanée chronique inflammatoire
tube long percutané	tube intraveineux long
mal de gorge	est une affection fréquente
IP ancien	par exemple indinavir, ritonavir, nelfinavir, saquinavir
soutien comportemental	tel que les brefs conseils et le soutien psychologique
antibiotiques oraux	isoniazide, érythromycine ou une association d'isoniazide et de rifampicine
douleur neuropathique diabétique	maladie neuropathique
école du dos	définie comme un programme thérapeutique administré en groupe et incluant à la fois des séances d'éducation et des exercices
maladie hépatique spécifique	hépatite alcoolique, cirrhose, carcinome hépatocellulaire
hémorragie sous-arachnoïdienne (HSA)	est une affection grave et potentiellement mortelle dans laquelle du sang s'échappe des vaisseaux sanguins à la surface du cerveau
complications obstétriques les plus graves	une pré-éclampsie et une restriction de la croissance intra-utérine
cancer rectal non métastatique localement avancé	défini comme une tumeur rectale de stade 3
sclérose en plaques (SEP)	est une maladie inflammatoire démyélinisante du système nerveux central humain
maladie de Ménière	ou le syndrome de Ménière
maladie de Ménière	est une affection invalidante où des épisodes récurrents de vertiges s'accompagnent de surdité, d'acouphènes et/ou de plénitude auriculaire
mesure diététique	le régime à faible teneur en sel
thérapie à pression positive	le dispositif Meniett
sclérose en plaques	est une maladie du système nerveux central caractérisée par une démyélinisation des gaines des nerfs qui peut entraîner différents niveaux d'incapacité
eczéma	maladie inflammatoire de la peau qui a tendance à impliquer les plis de la peau, comme les plis des coudes ou des genoux
hyperbilirubinémie	définie comme une bilirubine sérique totale (BST) > 15 mg/dl
marqueurs immunologique	numération/pourcentage des CD4
carie dentaire	est une maladie commune
diabète	est une maladie chronique caractérisée par la résistance à l'insuline ou par sa carence et qui a pour conséquence un taux élevé d'hémoglobine A1c glycosylée (HbA1c)
diabète	est ne maladie chronique caractérisée par la résistance à l'insuline ou par sa carence et qui a pour conséquence un taux élevé d'hémoglobine A1c glycosylée (HbA1c)
maladie de Ménière	trouble qui se caractérise par une perte auditive, des acouphènes et des vertiges incapacitants
isradipine	un inhibiteur des canaux calciques
maladie de Crohn	est un état inflammatoire intestinal, comprenant une réponse immunitaire hyperactive de la flore intestinale
restriction de la croissance foetale	définie comme la non concrétisation du potentiel de croissance
PAG	défini comme un poids inférieur à un percentile spécifié (habituellement le 10ème percentile)
maladie chronique	défini comme les maladies cardiovasculaires
pratiques portant sur l'alimentation des enfants	par exemple l'exposition répétée à des aliments
sueurs nocturnes	troubles du sommeil associés à des sueurs nocturnes ou effets indésirables
cardiomyopathie du péripartum (CMPP ou CPMO)	est une maladie rare, dont l'étiologie est inconnue, qui se caractérise par l'apparition d'une insuffisance cardiaque aiguë chez les femmes se trouvant dans la dernière phase de leur grossesse ou pendant les premiers mois du post-partum
trouble schizo-affectif	schizophrénie
urticaire	est une maladie de peau commune caractérisée par des plaques irritantes qui peuvent survenir n'importe où sur le corps
augmentation de la morbidité	par exemple douleur, diminution de la qualité de vie
trouble de la NASH	par exemple l'hyperlipidémie, le diabète, le syndrome métabolique
temps de sevrage	tel que temps entre la randomisation et l'extubation
lombalgie	est une affection couramment soignée en médecine générale
comparateurs actifs inhalés	par exemple solution saline hypertonique ou dornase alfa
technique d'anesthésie	définie… comme anesthésie générale, sédation / analgésie, procédures de blocage régional ou paracervical  BPC
traitement bref	jusqu'à quatre semaines
maladie artérielle périphérique (MAP)	est une affection courante et constitue un marqueur de l'athérosclérose systémique
encéphalopathie hépatique	trouble des fonctions cérébrales causé par une insuffisance hépatique et/ou un shunt porto-systémique
administration précoce d'une solution d'acides aminés	définie comme étant l'administration d'acides aminés de façon isolée ou avec une nutrition parentérale totale dans les 24 premières heures qui suivent la naissance
norme référencée pour le diagnostic de la maladie d'Alzheimer	critères du NINCDS-ADRDA ou du Manuel diagnostique et statistique des troubles mentaux, quatrième révision (DSM-IV
dysménorrhée primaire	douleur menstruelle
effets indésirables	par exemple une prise de poids, des ballonnements
acides gras oméga-3 d'origine marine	huile de poisson
bonne vision fonctionnelle	l'acuité visuelle de 6/12 ou plus
bonne vision fonctionnelle	acuité visuelle de 6/12 ou plus
intervention	par exemple une greffe de peau
trouble cognitif modéré (TCM)	affection de symptomatologie intermédiaire entre les changements cognitifs du vieillissement et les symptômes complètement développés de la démence
essai contrôlé quasi-randomisé	méthode d'assignation des participants à un traitement qui n'est pas strictement aléatoire
trouble dépressif majeur (TDM)	est un syndrome caractérisé par un certain nombre de caractéristiques comportementales, cognitives et émotionnelles
herpès zoster	est une maladie neurocutanée caractérisée par la réactivation d'un virus varicelle-zona (VVZ) latent quand l'immunité à ce virus diminue
fonction	y compris l'indépendance pour les déplacements et les activités de la vie quotidienne
fonction	par exemple prendre un bain
toux subaiguë	définie comme une toux durant entre deux et quatre semaines
symptômes physiques et psychologiques	définie comme douleurs précordiales après l'effort, troubles des fonctions pulmonaires et cardiaques, timidité et isolement social
démence vasculaire	trouble courant pour lequel il n'existe aucun traitement définitif
cancer	tel que le cancer colorectal métastatique
événements indésirables bénins	tel que maux de tête, troubles gastro-intestinaux
comorbidité	tel que des maladies gastro-intestinales ou hépatiques
dysarthrie	type de trouble de la parole le plus souvent signalé dans les ataxies héréditaires
insuffisance cardiaque	est une maladie dans laquelle le coeur ne pompe pas assez de sang pour satisfaire tous les besoins de l'organisme
chimiothérapie systémique	le principal traitement de choix
protoxyde d'azote	est un agent anesthésique relativement faible
complications périopératoires	nausées et vomissements postopératoires (NVPO)
délais de récupération	durée du séjour en salle de réveil et à l'hôpital
prostatite chronique	est une affection qui porte atteinte à la qualité de vie des hommes
zone pelvienne	périnée, testicules
événements indésirables graves	par exemple saignements, fièvre, pneumonie, thrombose veineuse profonde ou infection
kératoconjonctivite atopique (KCA)	est une pathologie inflammatoire non infectieuse chronique de la surface oculaire
trouble panique	est un type commun de trouble anxieux caractérisé par des crises de panique inattendues et répétées ou la crainte de futures crises de panique, ou les deux
diverticulite	est une complication inflammatoire d'une affection très fréquente, la diverticulose
dépression postnatale	est une affection médicale qui affecte de nombreuses femmes et le développement de leurs nourrissons
maladie inflammatoire pelvienne	complications liées à un DIU
effets secondaires anticholinergiques	une tachycardie, des vertiges, une nervosité, une sédation, des tremblements, une dyspepsie, des troubles sexuels et une prise de poids
maladie du greffon contre l'hôte	une pathologie survenant fréquemment après une greffe de cellules souches hématopoïétiques, est la conséquence d'une attaque des tissus hôtes par les cellules immunitaires du donneur
protocoles de cerclage	par exemple indication posée sur la base des antécédents ou de l'échographie ou de l'examen physique
vasopressine et de ses analogues	terlipressine
hypnotiques de la famille des benzodiazépines et les non-benzodiazépines	médicaments qui sont couramment prescrits pour les troubles du sommeil dans la démence
rhinite allergique	trouble des membranes nasales et des tissus environnants
néoplasie intra-épithéliale du canal anal (AIN)	est une affection pré-maligne de l'épithélium transitoire du canal anal associée à une infection par le papillomavirus humain (HPV)
chirurgie	le traitement le plus courant
baisse de la vision	par exemple une amblyopie
rotation manuelle prophylactique	définie…comme une rotation réalisée sans accouchement assisté immédiat
événements indésirables	coagulopathie, troubles gastro-intestinaux, hémorragie et microangiopathie
borderline	trouble de la personnalité limite
intervention en cas de crise	définie…comme une réponse immédiate par une ou plusieurs personnes, lorsqu'une autre personne souffre d'une détresse aiguë, ladite réponse étant conçue pour garantir la sécurité et le rétablissement de la personne et qu'elle ne dure pas plus d'un mois
succès thérapeutique	défini comme une amélioration de la distance de marche d'au moins 50 pour cent
maladie intestinale inflammatoire (MII)	est défini comme un trouble gastro-intestinal chronique
agent oral	tel que le kétotifène
asthme	est une maladie respiratoire
événements indésirables	céphalées, des rougeurs, une rhinite, des troubles visuels et une dyspepsie
événements indésirables graves	maladie coronarienne […] un accident vasculaire cérébral
bronchopneumopathie chronique obstructive (BPCO)	est une maladie associée à une morbidité et une mortalité élevées
activités quotidiennes de base	l'alimentation, l'élocution et la respiration
dermite séborrhéique	trouble cutané inflammatoire et chronique qui touche principalement la peau du cuir chevelu, le visage, la poitrine et les surfaces intertrigineuses, entraînant une desquamation et des rougeurs de la peau
lésion cérébrale acquise	infirmité motrice cérébrale, lésions cérébrales traumatiques, AVC
hernie parastomale	définie comme une hernie incisionnelle liée à une stomie et est la complication la plus courante relative à la stomie
progression de la cataracte	définie comme une modification dans l'aspect de la cataracte que ce soit en mieux ou en pire
hypercholestérolémie	est un facteur de risque important de maladies cardiovasculaires
trouble mental sévère	est des trouble mentaux graves
intervention pharmaceutique	par exemple des inhibiteurs de l'enzyme de conversion de l'angiotensine  ECA , des antibiotiques, des bêta-bloquants, des statines
arthroplastie totale de la hanche (ATH)	est un traitement efficace pour réduire la douleur et améliorer le fonctionnement et la qualité de vie des patients souffrant de troubles de la hanche
oestrogènes administrés localement	par exemple les crèmes vaginales ou les éponges
maladie vasculaire cérébrale	AVC ischémique aigu
membres du personnel chirurgical	par exemple les infirmières
opioïde	par exemple la morphine
bronchiolite	est une maladie des voies respiratoires inférieures courante
critère de jugement clinique lié aux soins	par exemple l'admission dans des unités de soins à long terme
déshydratation par perte d'eau	définie...comme toute personne en état de déshydratation par perte d'eau imminente ou actuelle
sélénium	est un composant essentiel d'un certain nombre de sélénoprotéines
stéroïde synthétique	par exemple la tibolone
thérapie unidisciplinaire	par exemple la physiothérapie seule
kératocône	est une maladie ectasique (amincissement) de la cornée
hydrocéphalie à pression normale (HPN)	une affection qui peut être difficile à diagnostiquer précisément
syndrome du côlon irritable (SCI)	trouble fréquent, trouble chronique
pustulose palmo-plantaire (PPP) chronique	est une affection cutanée chronique qui se caractérise par des plaques de pustules stériles sur la paume des mains et la plante des pieds qui apparaissent régulièrement au fil des mois ou des années
nécrolyse épidermique toxique	est une maladie rare dans laquelle une réaction à un médicament entraîne une perte de peau
nécrolyse épidermique toxique	une maladie classiquement associée à des taux de mortalité proches de 30 pour cent
dépression	trouble mental courant
somnolence	troubles du sommeil
fibromyalgie (FM)	est une affection chronique cliniquement bien définie d'étiologie inconnue
affection médicale spécifique	hémiplégie ou fracture du col du fémur
intervention sans exercice	par exemple des visites sociales
dépression	est une maladie débilitante
TDM	définie comme mouvement de danse participative avec une intention clairement psychothérapeutique, facilitée par une personne ayant un niveau de formation qui pouvait être raisonnablement attendu dans le pays où l'essai était mené
réalité virtuelle	définie…comme une technologie numérique en temps réel utilisant des images, des sons et autres stimuli sensoriels afin de créer un monde interactif généré par ordinateur et servant d'outil thérapeutique
nidothérapie	est une méthode thérapeutique qui vise principalement à modifier l'environnement des personnes souffrant de schizophrénie et d'autres troubles mentaux graves
effets indésirables	par exemple lésions nerveuses et vasculaires, infection profonde ou superficielle
phase de convalescence	trois mois ou plus après l'apparition de la maladie
escarre	définie comme une lésion localisée des tissus qui est provoquée par une pression non soulagée, une friction ou des forces de cisaillement sur n'importe quelle partie du corps
non-observance	est un problème significatif chez les patients atteints de troubles mentaux graves
dysphagie	difficultés de déglutition
sclérose en plaque	les maladies rares du système nerveux central
mortalité périnatale	mortinatalité et décès au cours de la première semaine de vie
difficulté comportementale	telle que l'agressivité ou des comportements d'automutilation, une instabilité émotionnelle ainsi que des problème liés à l'anxiété
hypertension	est un problème de santé publique majeur qui augmente le risque de maladies cardiaques et rénales
vaccination de l'enfant	est un moyen important et efficace de réduire la maladie et la mortalité infantiles
trouble menstruel	et la subfertilité
intervention	telle que l'hémodialyse
trouble musculo-squelettique	telles que les déchirures des ligaments musculaires et des tendons
traitement de soutien général	tel que des liquides intraveineux
diabète	est une maladie chronique courante
biomarqueur	par exemple la protéine C réactive
psychothérapie	par exemple la thérapie cognitivo-comportementale
consommation excessive de sodium alimentaire	est un facteur de risque pouvant mener à une pression artérielle élevée, des accidents vasculaires cérébraux et des maladies cardio-vasculaires
hypofertilité	trouble qui touche les couples en âge de procréer
appendicite compliquée	définie comme une appendicite gangreneuse ou perforée
bronchopneumopathie chronique obstructive (BPCO)	est une maladie respiratoire progressive qui provoque des symptômes d'essoufflement, de toux et d'accumulation de mucosités
greffe allogénique de cellules souches hématopoïétiques (allo-HSCT)	est une option établie de traitement pour de nombreux troubles malins et non malins
arthrite inflammatoire	polyarthrite rhumatoïde, spondylarthrite ankylosante, arthrite psoriasique, autres spondylarthrites ou arthrite inflammatoire associée à des maladies des tissu conjonctifs
bronchopneumopathie chronique obstructive (BPCO)	est une affection chronique caractérisée par une limitation progressive du flux respiratoire qui est, au mieux, partiellement réversible
trifluopérazine	est un médicament antipsychotique, typique, de haute puissance
sclérose en plaques (SEP)	est une maladie auto-immune du système nerveux central et une cause majeure d'invalidité chez les adultes jeunes et d'âge mûr
sténose du canal lombaire (SCL)	est une affection invalidante associée à une dégénérescence de la colonne vertébrale survenant avec le vieillissement
constipation	trouble intestinal fonctionnel qui peut réduire la qualité de vie dans la période suivant l'accouchement (post-partum)
syndrome de fibromyalgie (SFM)	est une affection chronique cliniquement bien définie d'étiologie inconnue caractérisée par des douleurs chroniques généralisées qui coexistent souvent avec des troubles du sommeil, un dysfonctionnement cognitif et de la fatigue
asthme	est une maladie inflammatoire chronique courante
affection inflammatoires des voies respiratoires	telle que l'asthme
maladie de Crohn	est une affection inflammatoire transmurale récurrente touchant le tube digestif
ostéoporose	est une maladie systémique squelettique caractérisée par une faible masse osseuse et une détérioration micro-architecturale du tissu osseux, conduisant à une augmentation de la fragilité osseuse et à un risque de fracture
asthme	est une affection fréquente caractérisée par l'inflammation et le rétrécissement des voies respiratoires, qui peuvent entraîner des symptômes intermittents de respiration sifflante, de toux et d'oppression thoracique pouvant limiter les activités de la vie quotidienne
sclérose en plaques (SEP)	est une maladie neurodégénérative inflammatoire chronique, à médiation immunitaire et démyélinisante du système nerveux central
laquinimod	est un nouveau médicament modificateur de la maladie (DMT), disponible par voie orale, potentiellement prometteur dans le traitement des poussées de SEP
médicament modificateur de la maladie (MDT) approuvés	interféron-beta, acétate de glatiramère, natalizumab, mitoxantrone, fingolimod, tériflunomide, fumarate de diméthyle
laquinimod	traitement modificateur de la maladie pour la SEP
prophylaxie pharmacologique	par exemple l'héparine, les inhibiteurs du facteur Xa, les antagonistes de la vitamine K, les inhibiteurs directs de la thrombine, les antiplaquettaires
prophylaxie mécanique	par exemple les bas anti-emboliques, la compression pneumatique intermittente et les dispositifs de stimulation fonctionnelle du pied
amputation majeure unilatérale ou bilatérale de l'extrémité inférieure	par exemple une désarticulation de la hanche ou du genou, ou une amputation transfémorale ou transtibiale
kératocône	est une affection de l'oeil
bronchiolite	est une maladie inflammatoire aiguë des bronchioles
intervention a minima	par exemple d'éducation
herpès génital	est une maladie incurable causée par le virus de l'herpès simplex (VHS)
trouble allergique	rhinite allergique
carie dentaire	est une maladie chronique très répandue touchant la majorité des gens
récupération subjective	par exemple la fatigue, le bien-être
hémophilie	trouble génétique caractérisé par des saignements spontanés ou provoqués, souvent incontrôlés, des articulations, des muscles et d'autres tissus mous
résultat neurodéveloppemental indésirable	par exemple la paralysie cérébrale et les troubles associés et les handicaps découlant de lésions cérébrales foetales
méthodes chirurgicales moins invasives	hystérectomie simple, la trachélectomie simple ou la conisation, avec ou sans lymphadénectomie pelvienne
asthme	est une affection respiratoire chronique qui se caractérise par une inflammation des voies respiratoires, la constriction des muscles lisses des voies respiratoires et une modification structurelle des voies respiratoires qui est au moins partiellement réversible
trouble du développement de la coordination (TDC)	est une affection infantile courante
dispositif intra-utérin hormonal	tel que les contraceptifs oraux
fièvre jaune (FJ)	est une maladie hémorragique virale aiguë fréquente dans les régions tropicales d'Afrique et d'Amérique latine
activités de la vie quotidienne	par exemple la mobilité, la marche, les transferts et les soins auto-administrés
thrombose veineuse profonde (TVP)	est une affection dans laquelle un caillot se forme dans les veines profondes, le plus souvent de la jambe
trouble du mouvement	akathisie, rigidité pallidale, hypertonie et tremblements
événements indésirables	troubles du mouvement et la somnolence
tendinopathie d'Achille	est une affection courante, avec souvent des conséquences fonctionnelles importantes
court terme	défini allant jusqu'à six semaines
ulcération veineuse de la jambe	est une affection récurrente, chronique et invalidante
événements indésirables	tels que des nausées, une constipation et des vomissements
hémophilie	trouble hémostatique provoquant des hémorragies au niveau des articulations et des muscles
période néonatale	28 premiers jours de vie
méthode de dépistage	par exemple outil, programme, lignes directrices/protocole
intervention non opératoire conservatrice	par exemple entraînement des muscles du plancher pelvien, simulations, médicaments
asthme	est une maladie respiratoire chronique courante
déshydratation	est une cause importante de décès chez les patients atteints de la maladie à virus Ebola (MVE)
questionnaire ACQ	Asthma Control Questionnaire
thérapie cognitivo-comportementale (TCC)	est un traitement fondé sur les preuves des troubles anxieux
trouble anxieux	trouble panique, agoraphobie, phobie sociale, stress post-traumatique, état de stress aigu, trouble d'anxiété généralisée, trouble obsessionnel-compulsif ou phobie spécifique
examen échographique	l'échographie en mode B ou l'échographie Doppler couleur
antithrombine	dérivée du plasma
vaccination des enfants	est un moyen efficace de prévenir de graves maladies infantiles
communication bidirectionnelle	par exemple discussions face à face entre les parents et les professionnels de la santé
prégabaline	est un anticonvulsivant qui est également utilisé pour le traitement des troubles douloureux chroniques
asthme	est une affection respiratoire chronique fréquente
trouble du mouvement	dyskinésies
trouble d'anxiété généralisée (TAG)	est une pathologie extrêmement prévalente, qui se caractérise par une inquiétude ou une anxiété excessive vis-à-vis des événements et problème de la vie quotidienne
trouble comportemental	par exemple symptômes comportementaux et psychologiques de la démence (SCPD)
maladie de Ménière	syndrome de Ménière
traitement de substitution aux opiacés (TSO)	tel que la méthadone et la buprénorphine
